Date,Reef,Video_code,colour,Species,Individual,fishlength.cm,tile.kind,tile.number,Location,number.bites,length.video.h:min:sec
19.04.2018,LighthouseReef,control,yellow,NA,NA,NA,large,8,NA,0,NA
19.04.2018,LighthouseReef,control,green,NA,NA,NA,large,45,NA,0,NA
19.04.2018,LighthouseReef,red-topleft#13,red,Acanthurus nigrofuscus,52,10,large,71,a2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,a4,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large,71,a4,3,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,14,10,large,71,a6,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Acanthurus nigrofuscus,39,9,large,71,a7,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#8,red,Zebrasoma scopas,23,10,large,71,a9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,b2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,b2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Zebrasoma scopas,10,9,large,71,b2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,b2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Ctenochaetus striatus,4,17,large,71,b2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Ctenochaetus striatus,30,12,large,71,b2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,31,14,large,71,b2,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#6,red,Acanthurus nigrofuscus,39,9,large,71,b2,2,0:11:28
19.04.2018,LighthouseReef,red-topleft#13,red,Ctenochaetus striatus,43,16,large,71,b2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#13,red,Zebrasoma scopas,35,10,large,71,b2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Acanthurus nigrofuscus,24,9,large,71,b3,1,0:26:05
