"","colour.in.videos","Treatment","Crevice.kind","tile.number","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Bites.Acanthurus.nigrofuscus","Bites.Chlorurus.sordidus","Bites.Ctenochaetus.binotatus","Bites.Ctenochaetus.striatus","Bites.Naso.lituratus","Bites.Pomacentrus.bankanensis","Bites.Scarus.niger","Bites.unident.wrasse","Bites.Zebrasoma.scopas"
"1","yellow","caged control","large","8","a1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","yellow","caged control","large","8","a2",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","yellow","caged control","large","8","a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","yellow","caged control","large","8","a4",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","yellow","caged control","large","8","a5",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","yellow","caged control","large","8","a6",2,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","yellow","caged control","large","8","a7",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","yellow","caged control","large","8","a8",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","yellow","caged control","large","8","a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","yellow","caged control","large","8","b1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","yellow","caged control","large","8","b2",4,7,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","yellow","caged control","large","8","b3",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","yellow","caged control","large","8","b4",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","yellow","caged control","large","8","b5",1,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","yellow","caged control","large","8","b6",5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","yellow","caged control","large","8","b7",2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"17","yellow","caged control","large","8","b8",3,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","yellow","caged control","large","8","b9",4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","yellow","caged control","large","8","c1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","yellow","caged control","large","8","c2",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","yellow","caged control","large","8","c3",2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","yellow","caged control","large","8","c4",1,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"23","yellow","caged control","large","8","c5",3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","yellow","caged control","large","8","c6",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","yellow","caged control","large","8","c7",5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","yellow","caged control","large","8","c8",6,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","yellow","caged control","large","8","c9",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","yellow","caged control","large","8","d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","yellow","caged control","large","8","d2",2,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","yellow","caged control","large","8","d3",2,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","yellow","caged control","large","8","d4",2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","yellow","caged control","large","8","d5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","yellow","caged control","large","8","d6",3,4,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"34","yellow","caged control","large","8","d7",2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0
"35","yellow","caged control","large","8","d8",3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","yellow","caged control","large","8","d9",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","yellow","caged control","large","8","e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","yellow","caged control","large","8","e2",1,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","yellow","caged control","large","8","e3",6,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","yellow","caged control","large","8","e4",5,8,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","yellow","caged control","large","8","e5",6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","yellow","caged control","large","8","e6",3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"43","yellow","caged control","large","8","e7",4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","yellow","caged control","large","8","e8",1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"45","yellow","caged control","large","8","e9",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","yellow","caged control","large","8","f1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","yellow","caged control","large","8","f2",2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","yellow","caged control","large","8","f3",1,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","yellow","caged control","large","8","f4",2,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","yellow","caged control","large","8","f5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","yellow","caged control","large","8","f6",2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"52","yellow","caged control","large","8","f7",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","yellow","caged control","large","8","f8",5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","yellow","caged control","large","8","f9",3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","yellow","caged control","large","8","g1",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","yellow","caged control","large","8","g2",1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","yellow","caged control","large","8","g3",7,4,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","yellow","caged control","large","8","g4",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","yellow","caged control","large","8","g5",0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","yellow","caged control","large","8","g6",1,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","yellow","caged control","large","8","g7",2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","yellow","caged control","large","8","g8",8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","yellow","caged control","large","8","g9",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","yellow","caged control","large","8","h1",1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","yellow","caged control","large","8","h2",2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","yellow","caged control","large","8","h3",1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","yellow","caged control","large","8","h4",2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","yellow","caged control","large","8","h5",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","yellow","caged control","large","8","h6",2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","yellow","caged control","large","8","h7",7,6,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","yellow","caged control","large","8","h8",2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","yellow","caged control","large","8","h9",2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","yellow","caged control","large","8","i1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","yellow","caged control","large","8","i2",3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","yellow","caged control","large","8","i3",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","yellow","caged control","large","8","i4",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","yellow","caged control","large","8","i5",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","yellow","caged control","large","8","i6",4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","yellow","caged control","large","8","i7",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","yellow","caged control","large","8","i8",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","yellow","caged control","large","8","i9",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","green","caged control","large","45","a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","green","caged control","large","45","a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","green","caged control","large","45","a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","green","caged control","large","45","a4",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","green","caged control","large","45","a5",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","green","caged control","large","45","a6",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","green","caged control","large","45","a7",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","green","caged control","large","45","a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","green","caged control","large","45","a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","green","caged control","large","45","b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","green","caged control","large","45","b2",1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"93","green","caged control","large","45","b3",2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","green","caged control","large","45","b4",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","green","caged control","large","45","b5",1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","green","caged control","large","45","b6",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","green","caged control","large","45","b7",0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","green","caged control","large","45","b8",0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","green","caged control","large","45","b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","green","caged control","large","45","c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","green","caged control","large","45","c2",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","green","caged control","large","45","c3",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","green","caged control","large","45","c4",1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"104","green","caged control","large","45","c5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","green","caged control","large","45","c6",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","green","caged control","large","45","c7",0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","green","caged control","large","45","c8",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","green","caged control","large","45","c9",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","green","caged control","large","45","d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","green","caged control","large","45","d2",0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","green","caged control","large","45","d3",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","green","caged control","large","45","d4",0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","green","caged control","large","45","d5",1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","green","caged control","large","45","d6",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","green","caged control","large","45","d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","green","caged control","large","45","d8",0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","green","caged control","large","45","d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","green","caged control","large","45","e1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"119","green","caged control","large","45","e2",1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","green","caged control","large","45","e3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","green","caged control","large","45","e4",0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","green","caged control","large","45","e5",0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","green","caged control","large","45","e6",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","green","caged control","large","45","e7",0,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"125","green","caged control","large","45","e8",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","green","caged control","large","45","e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","green","caged control","large","45","f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","green","caged control","large","45","f2",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","green","caged control","large","45","f3",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","green","caged control","large","45","f4",0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","green","caged control","large","45","f5",1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","green","caged control","large","45","f6",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","green","caged control","large","45","f7",1,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","green","caged control","large","45","f8",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","green","caged control","large","45","f9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","green","caged control","large","45","g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","green","caged control","large","45","g2",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","green","caged control","large","45","g3",1,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","green","caged control","large","45","g4",0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","green","caged control","large","45","g5",0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","green","caged control","large","45","g6",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","green","caged control","large","45","g7",1,22,0,1,19,0,0,3,0,0,0,0,0,0,0,0,0,0
"143","green","caged control","large","45","g8",0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","green","caged control","large","45","g9",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","green","caged control","large","45","h1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","green","caged control","large","45","h2",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","green","caged control","large","45","h3",1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","green","caged control","large","45","h4",0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","green","caged control","large","45","h5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","green","caged control","large","45","h6",1,7,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","green","caged control","large","45","h7",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","green","caged control","large","45","h8",0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","green","caged control","large","45","h9",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","green","caged control","large","45","i1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","green","caged control","large","45","i2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","green","caged control","large","45","i3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","green","caged control","large","45","i4",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","green","caged control","large","45","i5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","green","caged control","large","45","i6",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","green","caged control","large","45","i7",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","green","caged control","large","45","i8",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","green","caged control","large","45","i9",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","red","accessible","large","71","a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","red","accessible","large","71","a2",0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
"165","red","accessible","large","71","a3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"166","red","accessible","large","71","a4",0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0
"167","red","accessible","large","71","a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","red","accessible","large","71","a6",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"169","red","accessible","large","71","a7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"170","red","accessible","large","71","a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","red","accessible","large","71","a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"172","red","accessible","large","71","b1",3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","red","accessible","large","71","b2",3,2,0,3,2,0,0,0,0,2,0,0,8,0,0,0,0,2
"174","red","accessible","large","71","b3",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"175","red","accessible","large","71","b4",1,1,0,0,1,0,1,0,0,3,0,0,7,0,0,0,0,1
"176","red","accessible","large","71","b5",1,8,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0
"177","red","accessible","large","71","b6",2,2,0,1,0,0,1,2,0,4,0,0,6,0,0,0,0,5
"178","red","accessible","large","71","b7",0,7,0,0,7,0,0,0,0,9,0,0,7,0,0,0,0,2
"179","red","accessible","large","71","b8",2,1,1,2,1,1,0,0,0,5,0,0,2,0,0,0,0,0
"180","red","accessible","large","71","b9",0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"181","red","accessible","large","71","c1",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","red","accessible","large","71","c2",2,1,4,2,1,4,0,0,0,0,0,0,5,0,0,0,0,0
"183","red","accessible","large","71","c3",1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1
"184","red","accessible","large","71","c4",0,1,0,0,1,0,0,0,0,6,0,0,5,0,0,0,0,2
"185","red","accessible","large","71","c5",2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
"186","red","accessible","large","71","c6",1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"187","red","accessible","large","71","c7",1,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,2
"188","red","accessible","large","71","c8",0,7,0,0,7,0,0,0,0,4,0,0,4,0,0,0,0,10
"189","red","accessible","large","71","c9",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"190","red","accessible","large","71","d1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","red","accessible","large","71","d2",3,7,0,3,7,0,0,0,0,0,0,0,12,0,0,0,0,0
"192","red","accessible","large","71","d3",4,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"193","red","accessible","large","71","d4",2,4,0,2,2,0,0,2,0,4,0,0,8,0,0,0,0,0
"194","red","accessible","large","71","d5",2,2,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"195","red","accessible","large","71","d6",1,2,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,1
"196","red","accessible","large","71","d7",1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0
"197","red","accessible","large","71","d8",0,2,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,7
"198","red","accessible","large","71","d9",1,1,0,1,1,0,0,0,0,4,0,0,1,0,0,0,0,0
"199","red","accessible","large","71","e1",2,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"200","red","accessible","large","71","e2",4,1,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"201","red","accessible","large","71","e3",7,5,0,7,5,0,0,0,0,4,0,0,4,0,0,0,0,0
"202","red","accessible","large","71","e4",1,5,0,1,4,0,0,1,0,1,0,0,4,0,0,0,0,0
"203","red","accessible","large","71","e5",2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"204","red","accessible","large","71","e6",2,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"205","red","accessible","large","71","e7",0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
"206","red","accessible","large","71","e8",2,11,0,2,8,0,0,3,0,2,0,0,4,0,0,0,0,3
"207","red","accessible","large","71","e9",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"208","red","accessible","large","71","f1",1,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0
"209","red","accessible","large","71","f2",2,7,0,1,7,0,1,0,0,0,0,0,7,0,1,0,0,1
"210","red","accessible","large","71","f3",2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","red","accessible","large","71","f4",2,4,0,2,4,0,0,0,0,0,0,0,7,0,0,0,0,1
"212","red","accessible","large","71","f5",0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0
"213","red","accessible","large","71","f6",0,3,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,3
"214","red","accessible","large","71","f7",0,5,0,0,5,0,0,0,0,1,0,0,4,0,0,0,0,4
"215","red","accessible","large","71","f8",3,3,0,2,1,0,1,2,0,6,0,0,5,0,0,0,0,10
"216","red","accessible","large","71","f9",0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
"217","red","accessible","large","71","g1",1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"218","red","accessible","large","71","g2",2,2,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0
"219","red","accessible","large","71","g3",3,3,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0,3
"220","red","accessible","large","71","g4",4,3,3,4,3,3,0,0,0,0,0,0,1,0,0,0,0,0
"221","red","accessible","large","71","g5",9,10,0,9,9,0,0,1,0,7,0,0,5,0,0,0,0,0
"222","red","accessible","large","71","g6",9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","red","accessible","large","71","g7",0,3,0,0,3,0,0,0,0,5,0,0,9,0,0,0,0,3
"224","red","accessible","large","71","g8",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
