colour.in.videos,tile.number,Treatment,Crevice.kind,Location,Unique.location,number.LOB.before,number.otherMA.before,number.unknown.before,number.Lob.after,number.otherMA.after,number.unknown.after,number.LOB.removed,number.otherMA.removed,number.unknown.removed
yellow,8,caged control,large,a1,8.a1,0,1,0,0,1,0,0,0,0
yellow,8,caged control,large,a2,8.a2,1,1,0,1,1,0,0,0,0
yellow,8,caged control,large,a3,8.a3,0,0,0,0,0,0,0,0,0
yellow,8,caged control,large,a4,8.a4,3,0,0,3,0,0,0,0,0
yellow,8,caged control,large,a5,8.a5,1,1,0,1,1,0,0,0,0
yellow,8,caged control,large,a6,8.a6,2,5,0,2,5,0,0,0,0
yellow,8,caged control,large,a7,8.a7,3,0,0,3,0,0,0,0,0
yellow,8,caged control,large,a8,8.a8,2,0,0,2,0,0,0,0,0
yellow,8,caged control,large,a9,8.a9,0,0,0,0,0,0,0,0,0
yellow,8,caged control,large,b1,8.b1,1,0,0,1,0,0,0,0,0
yellow,8,caged control,large,b2,8.b2,4,7,0,4,7,0,0,0,0
yellow,8,caged control,large,b3,8.b3,2,2,0,2,2,0,0,0,0
yellow,8,caged control,large,b4,8.b4,0,4,0,0,4,0,0,0,0
yellow,8,caged control,large,b5,8.b5,1,5,0,1,5,0,0,0,0
yellow,8,caged control,large,b6,8.b6,5,5,0,5,5,0,0,0,0
yellow,8,caged control,large,b7,8.b7,2,3,1,2,3,1,0,0,0
yellow,8,caged control,large,b8,8.b8,3,5,0,3,5,0,0,0,0
yellow,8,caged control,large,b9,8.b9,4,2,0,4,2,0,0,0,0
yellow,8,caged control,large,c1,8.c1,0,1,0,0,1,0,0,0,0
yellow,8,caged control,large,c2,8.c2,2,2,0,2,2,0,0,0,0
yellow,8,caged control,large,c3,8.c3,2,1,0,2,1,0,0,0,0
yellow,8,caged control,large,c4,8.c4,1,4,1,1,4,1,0,0,0
yellow,8,caged control,large,c5,8.c5,3,2,0,3,2,0,0,0,0
yellow,8,caged control,large,c6,8.c6,3,0,0,3,0,0,0,0,0
yellow,8,caged control,large,c7,8.c7,5,3,0,5,3,0,0,0,0
yellow,8,caged control,large,c8,8.c8,6,2,0,6,2,0,0,0,0
yellow,8,caged control,large,c9,8.c9,1,1,0,1,1,0,0,0,0
yellow,8,caged control,large,d1,8.d1,0,0,0,0,0,0,0,0,0
yellow,8,caged control,large,d2,8.d2,2,5,0,2,5,0,0,0,0
yellow,8,caged control,large,d3,8.d3,2,5,0,2,5,0,0,0,0
yellow,8,caged control,large,d4,8.d4,2,1,0,2,1,0,0,0,0
yellow,8,caged control,large,d5,8.d5,0,0,0,0,0,0,0,0,0
yellow,8,caged control,large,d6,8.d6,3,4,1,3,4,1,0,0,0
yellow,8,caged control,large,d7,8.d7,2,2,2,2,0,2,0,2,0
yellow,8,caged control,large,d8,8.d8,3,3,0,3,3,0,0,0,0
yellow,8,caged control,large,d9,8.d9,1,1,0,1,1,0,0,0,0
yellow,8,caged control,large,e1,8.e1,0,0,0,0,0,0,0,0,0
yellow,8,caged control,large,e2,8.e2,1,4,0,1,4,0,0,0,0
yellow,8,caged control,large,e3,8.e3,6,1,0,6,1,0,0,0,0
yellow,8,caged control,large,e4,8.e4,5,8,0,5,8,0,0,0,0
yellow,8,caged control,large,e5,8.e5,6,0,0,6,0,0,0,0,0
yellow,8,caged control,large,e6,8.e6,3,2,1,3,2,1,0,0,0
yellow,8,caged control,large,e7,8.e7,4,2,0,4,2,0,0,0,0
yellow,8,caged control,large,e8,8.e8,1,2,1,1,2,1,0,0,0
yellow,8,caged control,large,e9,8.e9,1,0,0,1,0,0,0,0,0
yellow,8,caged control,large,f1,8.f1,1,0,0,1,0,0,0,0,0
yellow,8,caged control,large,f2,8.f2,2,4,0,2,4,0,0,0,0
yellow,8,caged control,large,f3,8.f3,1,4,0,1,4,0,0,0,0
yellow,8,caged control,large,f4,8.f4,2,5,0,2,5,0,0,0,0
yellow,8,caged control,large,f5,8.f5,0,0,0,0,0,0,0,0,0
yellow,8,caged control,large,f6,8.f6,2,3,1,2,3,1,0,0,0
yellow,8,caged control,large,f7,8.f7,0,1,0,0,1,0,0,0,0
yellow,8,caged control,large,f8,8.f8,5,3,0,5,3,0,0,0,0
yellow,8,caged control,large,f9,8.f9,3,2,0,3,2,0,0,0,0
yellow,8,caged control,large,g1,8.g1,1,1,0,1,1,0,0,0,0
yellow,8,caged control,large,g2,8.g2,1,3,0,1,3,0,0,0,0
yellow,8,caged control,large,g3,8.g3,7,4,0,7,4,0,0,0,0
yellow,8,caged control,large,g4,8.g4,1,1,0,1,1,0,0,0,0
yellow,8,caged control,large,g5,8.g5,0,3,0,0,3,0,0,0,0
yellow,8,caged control,large,g6,8.g6,1,6,0,1,6,0,0,0,0
yellow,8,caged control,large,g7,8.g7,2,1,0,2,1,0,0,0,0
yellow,8,caged control,large,g8,8.g8,8,8,0,8,8,0,0,0,0
yellow,8,caged control,large,g9,8.g9,2,0,0,2,0,0,0,0,0
yellow,8,caged control,large,h1,8.h1,1,2,0,1,2,0,0,0,0
yellow,8,caged control,large,h2,8.h2,2,4,0,2,4,0,0,0,0
yellow,8,caged control,large,h3,8.h3,1,2,0,1,2,0,0,0,0
yellow,8,caged control,large,h4,8.h4,2,4,0,2,4,0,0,0,0
yellow,8,caged control,large,h5,8.h5,0,2,0,0,2,0,0,0,0
yellow,8,caged control,large,h6,8.h6,2,1,0,2,1,0,0,0,0
yellow,8,caged control,large,h7,8.h7,7,6,0,7,6,0,0,0,0
yellow,8,caged control,large,h8,8.h8,2,3,0,2,3,0,0,0,0
yellow,8,caged control,large,h9,8.h9,2,4,0,2,4,0,0,0,0
yellow,8,caged control,large,i1,8.i1,1,0,0,1,0,0,0,0,0
yellow,8,caged control,large,i2,8.i2,3,1,0,3,1,0,0,0,0
yellow,8,caged control,large,i3,8.i3,0,2,0,0,2,0,0,0,0
yellow,8,caged control,large,i4,8.i4,1,1,0,1,1,0,0,0,0
yellow,8,caged control,large,i5,8.i5,1,0,0,1,0,0,0,0,0
yellow,8,caged control,large,i6,8.i6,4,0,0,4,0,0,0,0,0
yellow,8,caged control,large,i7,8.i7,0,1,0,0,1,0,0,0,0
yellow,8,caged control,large,i8,8.i8,1,0,0,1,0,0,0,0,0
yellow,8,caged control,large,i9,8.i9,0,2,0,0,2,0,0,0,0
green,45,caged control,large,a1,45.a1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a2,45.a2,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a3,45.a3,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a4,45.a4,1,0,0,1,0,0,0,0,0
green,45,caged control,large,a5,45.a5,0,1,0,0,1,0,0,0,0
green,45,caged control,large,a6,45.a6,2,0,0,2,0,0,0,0,0
green,45,caged control,large,a7,45.a7,0,1,0,0,1,0,0,0,0
green,45,caged control,large,a8,45.a8,0,0,0,0,0,0,0,0,0
green,45,caged control,large,a9,45.a9,0,0,0,0,0,0,0,0,0
