Location,Treatment,Genus,Species,Genus.species,Individual,Species.Code,Indiviual.code,Body.length,Tile,Bites.taken.on.crown,Bites.on.outside.tile,Bites.taken.in.target.crevice,Bites.taken.open,Bites.on.other.crevice,Video_code,ColourCode,tile.number,video.length(min.sec),video.length.min,comment,Area.crown.cm2,Area.target.cm2,Area.other.cm2,Area.open.cm2,Area.outside.cm2
Lighthouse Reef,Lob growth,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,27,Anigro,Anigro27,8,large crevices,11,1,0,0,0,1green#4,1 green,27,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,26,Anigro,Anigro26,8,large crevices,2,0,4,4,0,1green3white#6,1 green + 3 white,30,5.45,5.75,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,25,Anigro,Anigro25,10,large crevices,0,1,0,1,0,1green3white#3,1 green + 3 white,30,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,13,Anigro,Anigro13,8,large crevices,5,0,0,4,0,1red3white#1,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,16,Anigro,Anigro16,8,large crevices,11,6,0,0,0,1red3white#2,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,18,Anigro,Anigro18,10,large crevices,9,9,0,0,0,1red3white#2,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,19,Anigro,Anigro19,9,large crevices,3,0,0,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,large crevices,3,10,0,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,large crevices,2,2,0,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,large crevices,2,0,2,0,0,1red3white#5,1 red + 3 white,99.2,26.05,26.083,,40.32,15.49736,9,18,89.18264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,9,medium crevices,5,2,0,0,0,1red3white#6,1 red + 3 white,9.2,12.46,12.76,,34.56,18,10.74736,27,76.89264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,24,Anigro,Anigro24,8,medium crevices,3,3,0,0,0,1red3white#6,1 red + 3 white,9.2,12.46,12.76,,34.56,18,10.74736,27,76.89264
Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,9,Anigro,Anigro9,8,medium crevices,10,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264
