Treatment,Tile.number,Assigned.location.code,crevice.kind,LOB.crown,LOB.targetcrevice,LOB.othercrevice,LOB.opencrevice,LOB.outside,LOB.overall,otherMA.crown,otherMA.targetcrevice,otherMA.othercrevice,otherMA.opencrevice,otherMA.outside,otherMA.overall,unknown.crown,unknown.targetcrevice,unknown.othercrevice,unknown.opencrevice,unknown.outside,unknown.overall,Number.crowns,Area.crown.cm2,Number.targetcrevice,Area.targetcrevice.cm2.nosides,Area.targetcrevice.cm2.inclsides,Area.othercrevice.cm2.nosides,Area.othercrevice.cm2.inclsides,Number.opencrevices,Area.opencrevice.cm2.nosides,Area.opencrevice.cm2.inclsides,Area.outside.nosides.cm2,Area.outside.inclsides.cm2,Area.overall.cm2.nosides,Area.overall.cm2.inclsides,Proportion.LOB.target.overall,comment,identity other crevice,Observer
Caged,6,Caged_green+3,small,62,2,4,12,38,118,65,5,8,10,26,114,6,2,1,3,6,18,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,7,Caged_green+3,medium,55,8,5,18,22,108,59,5,11,22,6,103,8,3,3,5,0,19,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,8,Caged_green+3,large,66,28,3,32,42,171,76,21,11,35,29,172,1,3,0,2,0,6,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less  crowns,medium,Laura
Open,9,Open_red+2,large,1,1,0,3,4,9,35,9,11,37,13,105,0,0,0,0,0,0,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less crowns,medium,Laura
Open,9.2,Open_red+3,medium,1,1,1,2,2,7,0,0,2,0,1,3,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,10,Open_red+2,small,1,6,0,7,14,28,29,14,4,9,25,81,2,1,0,0,1,4,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,12,Caged_red+1,small,4,0,3,4,4,15,20,3,0,7,15,45,2,0,0,1,1,4,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,13,Caged_red+1,medium,4,2,2,6,3,17,21,12,10,10,7,60,1,0,2,0,1,4,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,14,Caged_red+1,large,21,5,4,6,10,46,80,11,6,20,7,124,2,2,1,0,5,10,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Laura
Caged,18,Caged_yellow+1,small,1,2,2,3,9,17,33,6,6,10,18,73,0,0,1,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,19,Caged_yellow+1,medium,1,1,0,3,4,9,26,10,2,8,6,52,0,2,0,3,0,5,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,21,Open_green+1,small,0,1,4,1,15,21,1,2,4,8,14,29,1,0,0,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,22,Open_yellow+3,large,2,0,2,3,1,8,8,6,4,8,12,38,0,0,0,0,0,0,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Alan
Open,23,Open_yellow+3,medium,0,1,0,0,0,1,0,0,1,0,1,2,0,1,0,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,24,Open_yellow+3,small,1,1,1,6,2,11,3,9,5,12,4,33,0,1,0,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,28,Open_green+3,small,11,7,7,15,15,55,61,10,26,24,35,156,2,2,0,1,1,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,29,Open_green+3,medium,3,2,2,3,3,13,15,4,3,4,1,27,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,30,Open_green+3,large,6,4,0,11,13,34,13,8,11,7,5,44,0,0,0,0,0,0,27,38.88,1,15.49736,31.49736,9,33,8,18,54,66.62264,90.62264,148,248,,"1 crown missing, type 2, more crowns",medium,Laura
Open,33,Open_yellow+2,large,3,3,3,5,1,15,5,12,15,8,7,47,0,0,0,4,1,5,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Laura
Open,34,Open_yellow+2,medium,0,7,2,13,1,23,1,1,3,2,1,8,0,1,0,1,1,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,35,Open_yellow+2,small,3,4,2,6,10,25,10,7,1,9,6,33,0,1,0,1,1,3,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,36,Open_green+2,large,1,1,0,2,3,7,6,5,4,6,7,28,1,0,0,0,0,1,27,38.88,1,15.49736,31.49736,9,33,8,18,54,66.62264,90.62264,148,248,,"type 2 - more crowns, but 1 missing",medium,Laura
Open,37,Open_green+2,medium,3,1,1,1,3,9,13,8,1,5,1,28,1,0,0,2,0,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,38,Open_green+1,medium,5,5,1,7,6,24,17,8,6,9,3,43,0,0,1,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,39,Open_green+1,large,3,1,3,1,5,13,46,5,4,21,56,132,7,2,0,0,2,11,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Fredi
Open,40,Open_green+2,small,1,3,4,4,1,13,8,2,3,11,13,37,1,4,0,0,0,5,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,43,Caged_yellow+2,small,1,1,0,1,0,3,29,6,3,7,12,57,0,0,0,0,0,0,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,43.2,Open_yellow+1,large,1,6,3,0,6,16,14,7,2,7,5,35,3,2,0,4,2,11,25,36,1,15.49736,31.49736,9,33,8,18,54,69.50264,93.50264,148,248,,"type2, more crowns, but 3 crowns missing",medium,Laura
Caged,44,Caged_yellow+2,medium,3,2,4,3,6,18,21,6,3,7,6,43,0,1,0,0,1,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,45,Caged_yellow+2,large,6,4,2,7,8,27,123,27,10,32,16,208,1,0,0,0,0,1,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less  crowns,medium,Laura
Partial,46,Partial_green+3,large,3,3,1,5,13,25,14,8,9,16,5,52,0,0,0,2,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,"type1, less crowns",medium,Laura
Partial,47,Partial_green+3,small,1,3,2,2,8,16,24,4,5,9,8,50,0,0,0,0,1,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,48,Partial_green+3,medium,4,0,0,0,8,12,4,4,2,1,3,14,0,1,0,0,1,2,19,27.36,8,18,66,10.74736,28.74736,12,27,81,64.89264,84.09264,148,287.2,,"5 crowns missing, 2 target crevices compromised",middle,Laura
Partial,49,Partial_green+2,small,3,3,5,9,27,47,33,7,9,38,28,115,3,0,1,2,6,12,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,50,Partial_green+2,medium,0,1,2,1,7,11,5,1,1,1,0,8,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
