Date,Treatment,Cage,Colour,Crevice.tile,Crevice.number,Crevice.ID,Crevice.Code,length.mm,width.mm,comment,Tile.Number
23/03/2018,full cage,FCbl,black,large,1,FCbll1,black1,9,7,,54
31/03/2018,full cage,FCbl,black,large,1,FCbll1,black1,8,8,,54
9/04/2018,full cage,FCbl,black,large,1,FCbll1,black1,NA,NA,,54
17/04/2018,full cage,FCbl,black,large,1,FCbll1,black1,NA,NA,,54
23/03/2018,full cage,FCgr,green,large,1,FCgrl1,green1,10,7,,65
31/03/2018,full cage,FCgr,green,large,1,FCgrl1,green1,10,6,,65
9/04/2018,full cage,FCgr,green,large,1,FCgrl1,green1,10,6,,65
17/04/2018,full cage,FCgr,green,large,1,FCgrl1,green1,NA,NA,,65
23/03/2018,full cage,FCre,red,large,1,FCrel1,red1,10,8,,69
31/03/2018,full cage,FCre,red,large,1,FCrel1,red1,10,7,,69
9/04/2018,full cage,FCre,red,large,1,FCrel1,red1,NA,NA,,69
17/04/2018,full cage,FCre,red,large,1,FCrel1,red1,NA,NA,,69
23/03/2018,full cage,FCye,yellow,large,1,FCyel1,yellow1,8,7,,3
31/03/2018,full cage,FCye,yellow,large,1,FCyel1,yellow1,9,8,,3
9/04/2018,full cage,FCye,yellow,large,1,FCyel1,yellow1,7,6,,3
17/04/2018,full cage,FCye,yellow,large,1,FCyel1,yellow1,9,8,,3
23/03/2018,open,Obl,black,large,1,Obll1,black1,7,7,,84.2
31/03/2018,open,Obl,black,large,1,Obll1,black1,8,7,,84.2
9/04/2018,open,Obl,black,large,1,Obll1,black1,10,6,,84.2
17/04/2018,open,Obl,black,large,1,Obll1,black1,10,7,,84.2
31/03/2018,open,Ogr,green,large,1,Ogrl1,green1,8,6,,27
9/04/2018,open,Ogr,green,large,1,Ogrl1,green1,8,7,,27
17/04/2018,open,Ogr,green,large,1,Ogrl1,green1,10,7,,27
23/03/2018,open,Ogr,green,large,1,Orel1,green1,8,6,,26
23/03/2018,open,Ore,red,large,1,Ogrl1,red1,11,5,,50.2
31/03/2018,open,Ore,red,large,1,Orel1,red1,NA,NA,,50.2
9/04/2018,open,Ore,red,large,1,Orel1,red1,NA,NA,,50.2
17/04/2018,open,Ore,red,large,1,Orel1,red1,NA,NA,,50.2
23/03/2018,open,Oye,yellow,large,1,Oyel1,yellow1,9,7,,19.2
31/03/2018,open,Oye,yellow,large,1,Oyel1,yellow1,8,7,,19.2
