"","Unique.location","Acanthurus.nigrofuscus","Chlorurus.sordidus","Ctenochaetus.binotatus","Ctenochaetus.striatus","Naso.lituratus","Pomacentrus.bankanensis","Scarus.niger","wrasse.unident","Zebrasoma.scopas","count"
"1","107.b2",0,1,0,0,1,0,0,0,0,2
"2","107.b6",0,1,0,0,0,0,0,0,0,1
"3","107.b8",0,1,0,0,1,0,0,0,0,2
"4","107.c3",0,1,0,0,0,0,0,1,0,2
"5","107.d2",0,3,0,0,0,0,0,1,0,2
"6","107.d5",0,0,0,0,1,0,0,0,0,1
"7","107.d6",0,0,0,0,4,0,0,1,0,2
"8","107.e2",0,1,0,0,0,0,0,0,0,1
"9","107.e3",0,4,0,0,0,0,0,0,0,1
"10","107.f2",0,3,0,0,0,0,0,0,0,1
"11","107.f6",0,0,0,0,1,0,0,0,0,1
"12","107.f8",0,0,0,0,2,0,0,0,0,1
"13","107.g1",0,2,0,0,0,0,0,0,0,1
"14","107.g2",0,0,3,0,0,0,0,0,0,1
"15","107.g3",0,0,1,0,0,0,0,0,0,1
"16","107.g7",0,0,0,0,3,0,0,0,0,1
"17","107.h1",0,0,4,0,0,0,0,0,0,1
"18","107.h2",0,3,6,0,1,0,0,0,0,3
"19","107.h4",0,0,0,0,2,0,0,0,0,1
"20","107.i1",0,0,0,0,0,0,0,0,0,0
"21","107.i2",0,0,4,0,0,0,0,0,0,1
"22","107.i3",0,0,1,0,0,0,0,0,0,1
"23","107.i4",0,0,0,0,2,0,0,0,0,1
"24","107.i5",0,0,0,0,1,0,0,0,0,1
"25","107.i7",0,0,1,0,0,0,0,0,0,1
"26","18.a4",0,0,0,0,0,1,0,0,0,1
"27","18.a5",0,0,0,0,0,0,0,0,0,0
"28","18.b1",0,0,0,0,0,0,1,0,0,1
"29","18.b2",0,0,0,0,0,0,1,0,0,1
"30","18.b4",0,0,0,0,0,0,1,0,0,1
"31","18.b6",0,0,0,0,0,0,6,0,0,1
"32","18.b8",0,0,0,0,0,0,3,0,0,1
"33","18.c1",0,0,0,0,0,0,1,0,0,1
"34","18.c5",0,0,0,0,0,0,5,0,0,1
"35","18.c7",0,0,0,0,0,0,2,0,0,1
