"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"1","107.b6","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","b6",0,0,0,0,0,0,0,0,0
"2","107.d5","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"3","107.e2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"4","107.e3","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","e3",0,0,0,0,0,0,0,0,0
"5","107.f2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"6","107.f6","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","f6",0,0,0,0,0,0,0,0,0
"7","107.f8","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","f8",0,0,0,0,0,0,0,0,0
"8","107.g1","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","g1",0,0,0,0,0,0,0,0,0
"9","107.g2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"10","107.g3","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","g3",0,0,0,0,0,0,0,0,0
"11","107.g7","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","g7",0,0,0,0,0,0,0,0,0
"12","107.h1","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","h1",0,0,0,0,0,0,0,0,0
"13","107.h4","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","h4",0,0,0,0,0,0,0,0,0
"14","107.i2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"15","107.i3","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","i3",0,0,0,0,0,0,0,0,0
"16","107.i4","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","i4",0,0,0,0,0,0,0,0,0
"17","107.i5","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","i5",0,0,0,0,0,0,0,0,0
"18","107.i7","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","i7",0,0,0,0,0,0,0,0,0
"19","18.a4","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","a4",0,0,0,0,0,0,0,0,0
"20","18.b1","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"21","18.b2","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","b2",0,0,0,0,0,0,0,0,0
"22","18.b4","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","b4",0,1,0,0,1,0,0,0,0
"23","18.b6","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","b6",0,0,0,0,0,0,0,0,0
"24","18.b8","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","b8",0,1,0,0,1,0,0,0,0
"25","18.c1","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","c1",0,0,0,0,0,0,0,0,0
"26","18.c5","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","c5",0,3,0,0,3,0,0,0,0
"27","18.c7","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","c7",0,1,0,0,1,0,0,0,0
"28","18.d1","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","d1",0,1,0,0,1,0,0,0,0
"29","18.d4","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","d4",0,1,0,0,1,0,0,0,0
"30","18.e1","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","e1",0,0,0,0,0,0,0,0,0
"31","18.f4","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","f4",0,2,0,0,2,0,0,0,0
"32","18.f6","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","f6",0,0,0,0,0,0,0,0,0
"33","18.g5","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","g5",0,1,0,0,1,0,0,0,0
"34","18.g7","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"35","18.h2","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","h2",0,1,0,0,1,0,0,0,0
"36","18.h6","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","h6",0,1,0,0,1,0,0,0,0
"37","18.h8","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","h8",0,1,0,0,1,0,0,0,0
"38","18.i4","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"39","18.i5","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"40","18.i6","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"41","44.a1","Acanthurus nigrofuscus",0,"red",44,"accessible","medium","a1",0,0,0,0,0,0,0,0,0
