"","X","Reef","Treatment","Genus","Species","Genus.species","Individual","Species.Code","Indiviual.code","Body.length","tile.kind","crown","outside","targetcrevice","opencrevice","othercrevice","Video_code","ColourCode","tile.number","video.length.min.sec.","video.length.min","comment","Area.crown.cm2","Area.target.cm2","Area.other.cm2","Area.open.cm2","Area.outside.cm2","Date","colour","Location","Bites.cm2.crown","Bites.cm2.targetcrevice","Bites.cm2.othercrevice","Bites.cm2.opencrevice","Bites.cm2.outside","Bites.cm2.min.crown","Bites.cm2.min.targetcrevice","Bites.cm2.min.othercrevice","Bites.cm2.min.opencrevice","Bites.cm2.min.outside"
"1",1601,"LighthouseReef","recruitment",NA,NA,"unident wrasse",1,NA,NA,8,"small crevice",0,1,0,0,0,"black-topright#1",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","h3",0,0,0,0,0.0102152725679888,0,0,0,0,0.000391689899079324
"2",1602,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",3,NA,NA,20,"small crevice",1,0,0,0,0,"black-topright#10",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","b2",0.0289351851851852,0,0,0,0,0.00110947795955465,0,0,0,0
"3",1603,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",3,NA,NA,20,"small crevice",2,0,0,0,0,"black-topright#10",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","b8",0.0578703703703704,0,0,0,0,0.00221895591910929,0,0,0,0
"4",1604,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",4,NA,NA,19,"small crevice",1,0,0,0,0,"black-topright#11",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","b8",0.0289351851851852,0,0,0,0,0.00110947795955465,0,0,0,0
"5",1605,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",4,NA,NA,19,"small crevice",0,1,0,0,0,"black-topright#11",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","h2",0,0,0,0,0.0102152725679888,0,0,0,0,0.000391689899079324
"6",1606,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",6,NA,NA,20,"small crevice",1,0,0,0,0,"black-topright#12",NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","b8",0.0289351851851852,0,0,0,0,0.00126908706952567,0,0,0,0
"7",1607,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",6,NA,NA,20,"small crevice",1,0,0,0,0,"black-topright#12",NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","d6",0.0289351851851852,0,0,0,0,0.00126908706952567,0,0,0,0
"8",1608,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",6,NA,NA,20,"small crevice",1,0,0,0,0,"black-topright#12",NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","d8",0.0289351851851852,0,0,0,0,0.00126908706952567,0,0,0,0
"9",1609,"LighthouseReef","recruitment",NA,NA,"Naso lituratus",6,NA,NA,20,"small crevice",1,0,0,0,0,"black-topright#12",NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","e7",0.0289351851851852,0,0,0,0,0.00126908706952567,0,0,0,0
"10",1610,"LighthouseReef","recruitment",NA,NA,"Chlorurus sordidus",1,NA,NA,12,"small crevice",2,0,0,0,0,"black-topright#3",NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,"19.04.2018","black","b2",0.0578703703703704,0,0,0,0,0.00221895591910929,0,0,0,0
