"","Unique.location","Acanthurus.nigrofuscus","Chlorurus.sordidus","Ctenochaetus.binotatus","Ctenochaetus.striatus","Naso.lituratus","Pomacentrus.bankanensis","Scarus.niger","wrasse.unident","Zebrasoma.scopas","count"
"2","107.b6",0,1,0,0,0,0,0,0,0,1
"6","107.d5",0,0,0,0,1,0,0,0,0,1
"8","107.e2",0,1,0,0,0,0,0,0,0,1
"9","107.e3",0,4,0,0,0,0,0,0,0,1
"10","107.f2",0,3,0,0,0,0,0,0,0,1
"11","107.f6",0,0,0,0,1,0,0,0,0,1
"12","107.f8",0,0,0,0,2,0,0,0,0,1
"13","107.g1",0,2,0,0,0,0,0,0,0,1
"14","107.g2",0,0,3,0,0,0,0,0,0,1
"15","107.g3",0,0,1,0,0,0,0,0,0,1
"16","107.g7",0,0,0,0,3,0,0,0,0,1
"17","107.h1",0,0,4,0,0,0,0,0,0,1
"19","107.h4",0,0,0,0,2,0,0,0,0,1
"21","107.i2",0,0,4,0,0,0,0,0,0,1
"22","107.i3",0,0,1,0,0,0,0,0,0,1
"23","107.i4",0,0,0,0,2,0,0,0,0,1
"24","107.i5",0,0,0,0,1,0,0,0,0,1
"25","107.i7",0,0,1,0,0,0,0,0,0,1
"26","18.a4",0,0,0,0,0,1,0,0,0,1
"28","18.b1",0,0,0,0,0,0,1,0,0,1
"29","18.b2",0,0,0,0,0,0,1,0,0,1
"30","18.b4",0,0,0,0,0,0,1,0,0,1
"31","18.b6",0,0,0,0,0,0,6,0,0,1
"32","18.b8",0,0,0,0,0,0,3,0,0,1
"33","18.c1",0,0,0,0,0,0,1,0,0,1
"34","18.c5",0,0,0,0,0,0,5,0,0,1
"35","18.c7",0,0,0,0,0,0,2,0,0,1
"36","18.d1",0,0,0,0,0,0,1,0,0,1
"37","18.d4",0,0,0,0,0,1,0,0,0,1
"38","18.e1",0,0,0,0,0,0,1,0,0,1
"39","18.f4",0,0,0,0,0,0,1,0,0,1
"40","18.f6",0,0,0,0,0,0,4,0,0,1
"41","18.g5",0,0,0,0,0,0,3,0,0,1
"43","18.g7",0,0,0,0,0,0,3,0,0,1
"44","18.h2",0,0,0,0,0,0,1,0,0,1
"45","18.h6",0,0,0,0,0,0,2,0,0,1
"46","18.h8",0,0,0,0,0,0,1,0,0,1
"47","18.i4",0,0,0,0,0,0,1,0,0,1
"48","18.i5",0,0,0,0,0,0,2,0,0,1
"49","18.i6",0,0,0,0,0,0,1,0,0,1
"50","44.a1",0,0,0,1,0,0,0,0,0,1
"53","44.b3",0,0,0,2,0,0,0,0,0,1
"55","44.b5",2,0,0,0,0,0,0,0,0,1
"57","44.b7",2,0,0,0,0,0,0,0,0,1
"62","44.c6",1,0,0,0,0,0,0,0,0,1
"64","44.c8",1,0,0,0,0,0,0,0,0,1
"67","44.d3",5,0,0,0,0,0,0,0,0,1
"69","44.d5",4,0,0,0,0,0,0,0,0,1
"72","44.d9",1,0,0,0,0,0,0,0,0,1
"76","44.e4",1,0,0,0,0,0,0,0,0,1
"77","44.e6",1,0,0,0,0,0,0,0,0,1
"81","44.f1",3,0,0,0,0,0,0,0,0,1
"83","44.f3",1,0,0,0,0,0,0,0,0,1
"89","44.g1",7,0,0,0,0,0,0,0,0,1
"90","44.g2",9,0,0,0,0,0,0,0,0,1
"96","44.g9",2,0,0,0,0,0,0,0,0,1
"97","44.h1",1,0,0,0,0,0,0,0,0,1
"103","44.h7",5,0,0,0,0,0,0,0,0,1
"106","44.i2",1,0,0,0,0,0,0,0,0,1
"116","6.c7",0,1,0,0,0,0,0,0,0,1
"118","6.d8",0,0,0,0,2,0,0,0,0,1
"119","6.e7",0,0,0,0,1,0,0,0,0,1
"121","6.f6",0,1,0,0,0,0,0,0,0,1
"123","6.h3",0,0,0,0,0,0,0,1,0,1
"124","6.h6",0,1,0,0,0,0,0,0,0,1
"125","6.h8",0,0,0,0,1,0,0,0,0,1
"126","71.a2",2,0,0,0,0,0,0,0,0,1
"128","71.a6",0,0,0,0,0,0,0,0,2,1
"129","71.a7",1,0,0,0,0,0,0,0,0,1
"130","71.a9",0,0,0,0,0,0,0,0,1,1
"134","71.b5",0,0,0,1,0,0,0,0,0,1
"139","71.c2",0,0,0,5,0,0,0,0,0,1
"146","71.c9",0,0,0,1,0,0,0,0,0,1
"147","71.d2",0,0,0,12,0,0,0,0,0,1
"148","71.d3",0,0,0,1,0,0,0,0,0,1
"150","71.d5",0,0,0,1,0,0,0,0,0,1
"155","71.e1",0,0,0,2,0,0,0,0,0,1
"156","71.e2",0,0,0,2,0,0,0,0,0,1
"162","71.e9",0,0,0,1,0,0,0,0,0,1
"163","71.f1",0,0,0,2,0,0,0,0,0,1
"170","71.f9",0,0,0,2,0,0,0,0,0,1
"171","71.g1",0,0,0,2,0,0,0,0,0,1
"172","71.g2",0,0,0,3,0,0,0,0,0,1
"174","71.g4",0,0,0,1,0,0,0,0,0,1
"177","71.g8",0,0,0,0,0,0,0,0,1,1
"180","71.h3",0,0,0,1,0,0,0,0,0,1
"184","71.h7",0,0,0,0,0,0,0,0,5,1
"187","71.i2",0,0,0,1,0,0,0,0,0,1
"188","71.i4",0,0,0,1,0,0,0,0,0,1
"192","72.a1",0,0,0,0,0,0,0,0,1,1
"203","72.b3",0,0,0,1,0,0,0,0,0,1
"209","72.b9",6,0,0,0,0,0,0,0,0,1
"221","72.d5",0,0,0,7,0,0,0,0,0,1
"224","72.d9",1,0,0,0,0,0,0,0,0,1
"225","72.e1",0,0,0,4,0,0,0,0,0,1
"226","72.e2",0,0,0,0,0,0,0,0,1,1
"228","72.e4",0,0,0,3,0,0,0,0,0,1
"230","72.e6",0,0,0,2,0,0,0,0,0,1
"231","72.e7",0,0,0,8,0,0,0,0,0,1
"232","72.e8",0,0,0,2,0,0,0,0,0,1
"235","72.f3",0,0,0,1,0,0,0,0,0,1
"237","72.f5",0,0,0,4,0,0,0,0,0,1
"241","72.g2",0,0,0,3,0,0,0,0,0,1
"244","72.g6",0,0,0,0,0,0,0,0,2,1
"250","72.h5",0,0,0,2,0,0,0,0,0,1
"254","72.i2",3,0,0,0,0,0,0,0,0,1
"255","72.i3",2,0,0,0,0,0,0,0,0,1
"256","72.i4",0,0,0,4,0,0,0,0,0,1
"257","72.i5",0,0,0,5,0,0,0,0,0,1
"258","72.i6",0,0,0,4,0,0,0,0,0,1
"260","74.b2",0,0,0,0,0,0,1,0,0,1
"261","74.b4",0,0,0,0,0,0,1,0,0,1
"262","74.b5",0,0,0,0,0,0,1,0,0,1
"263","74.b8",0,0,0,0,0,0,1,0,0,1
"264","74.c3",0,0,0,0,0,0,1,0,0,1
"265","74.c6",0,0,0,0,0,0,1,0,0,1
"266","74.d2",0,0,0,0,0,0,2,0,0,1
"267","74.d3",0,0,0,0,0,0,1,0,0,1
"268","74.d5",0,0,0,0,0,0,1,0,0,1
"269","74.d8",0,0,0,0,0,0,1,0,0,1
"270","74.e7",0,0,0,0,0,0,1,0,0,1
"271","74.f4",0,0,0,0,0,0,1,0,0,1
"272","74.g3",0,0,0,0,0,0,2,0,0,1
"273","74.g7",0,0,0,0,0,0,1,0,0,1
"274","74.g8",0,0,0,0,0,1,0,0,0,1
"276","79.b6",0,0,0,0,0,0,4,0,0,1
"277","79.c5",0,0,0,0,0,0,1,0,0,1
"278","79.c7",0,0,0,0,0,0,4,0,0,1
"279","79.d4",0,0,0,0,0,0,4,0,0,1
"280","79.d6",0,0,0,0,0,0,4,0,0,1
"281","79.e3",0,0,0,0,0,0,1,0,0,1
"282","79.e7",0,0,0,0,0,0,2,0,0,1
"283","79.f2",0,0,0,0,0,0,2,0,0,1
"284","79.f8",0,0,0,0,0,0,1,0,0,1
"285","79.h6",0,0,0,0,0,0,1,0,0,1
"286","79.h8",0,0,0,0,0,0,1,0,0,1
"287","80.b2",0,0,0,0,2,0,0,0,0,1
"289","80.b6",0,0,0,0,5,0,0,0,0,1
"290","80.b8",0,0,0,0,2,0,0,0,0,1
"291","80.c1",0,0,0,0,1,0,0,0,0,1
"292","80.c4",0,0,1,0,0,0,0,0,0,1
"293","80.c6",0,0,0,0,2,0,0,0,0,1
"294","80.c7",0,0,0,0,1,0,0,0,0,1
"295","80.d1",0,0,0,0,1,0,0,0,0,1
"298","80.d7",0,0,0,0,1,0,0,0,0,1
"299","80.d8",0,0,0,0,2,0,0,0,0,1
"300","80.e1",0,0,1,0,0,0,0,0,0,1
"301","80.e2",0,0,1,0,0,0,0,0,0,1
"303","80.e4",0,0,1,0,0,0,0,0,0,1
"305","80.f3",0,0,1,0,0,0,0,0,0,1
"307","80.f5",0,0,4,0,0,0,0,0,0,1
"308","80.f6",0,0,2,0,0,0,0,0,0,1
"309","80.f8",0,0,0,0,1,0,0,0,0,1
"310","80.g1",0,0,0,0,3,0,0,0,0,1
"311","80.g3",0,0,6,0,0,0,0,0,0,1
"312","80.g4",0,0,0,0,0,0,0,2,0,1
"313","80.g5",0,0,3,0,0,0,0,0,0,1
"315","80.g8",0,1,0,0,0,0,0,0,0,1
"319","80.h7",0,3,0,0,0,0,0,0,0,1
"321","80.i3",0,0,0,0,1,0,0,0,0,1
"322","80.i4",0,0,2,0,0,0,0,0,0,1
"323","80.i5",0,1,0,0,0,0,0,0,0,1
