"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"2","107.d5","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"3","107.e2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"5","107.f2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"9","107.g2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"14","107.i2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"20","18.b1","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"34","18.g7","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"38","18.i4","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"39","18.i5","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"40","18.i6","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"42","44.b3","Acanthurus nigrofuscus",0,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"49","44.d9","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"50","44.e4","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"51","44.e6","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"53","44.f3","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"62","6.e7","Acanthurus nigrofuscus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"63","6.f6","Acanthurus nigrofuscus",0,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"64","6.h3","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"65","6.h6","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"66","6.h8","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
"68","71.a6","Acanthurus nigrofuscus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"71","71.b5","Acanthurus nigrofuscus",0,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
"72","71.c2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","c2",2,1,4,2,1,4,0,0,0
"74","71.d2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d2",3,7,0,3,7,0,0,0,0
"75","71.d3","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d3",4,1,0,4,1,0,0,0,0
"76","71.d5","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d5",2,2,1,2,2,1,0,0,0
"77","71.e1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","e1",2,1,0,2,1,0,0,0,0
"78","71.e2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","e2",4,1,0,4,1,0,0,0,0
"80","71.f1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","f1",1,2,0,1,2,0,0,0,0
"82","71.g1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g1",1,0,1,1,0,1,0,0,0
"83","71.g2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g2",2,2,0,2,2,0,0,0,0
"84","71.g4","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g4",4,3,3,4,3,3,0,0,0
"85","71.g8","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g8",2,2,0,2,2,0,0,0,0
"86","71.h3","Acanthurus nigrofuscus",0,"red",71,"accessible","large","h3",3,2,1,3,2,1,0,0,0
"87","71.h7","Acanthurus nigrofuscus",0,"red",71,"accessible","large","h7",6,2,1,6,2,1,0,0,0
"89","71.i4","Acanthurus nigrofuscus",0,"red",71,"accessible","large","i4",1,0,0,1,0,0,0,0,0
"94","72.d9","Acanthurus nigrofuscus",1,"red",72,"accessible","small","d9",2,0,0,2,0,0,0,0,0
"95","72.e1","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e1",2,1,0,2,1,0,0,0,0
