"","Date","Reef","Video_code","colour","Species","Individual","fishlength.cm","tile.kind","tile.number","Location","Unique.location","number.bites","length.video.h.min.sec","length.video.min","comment","parrot.phase","Tile.kind","Location.kind"
"1","19.04.2018","LighthouseReef","black-topright#1","black","unident wrasse","1",8,"large crevice","80","d3","80.d3",1,"0:26:05",26.08,"","","large.less","crown"
"2","19.04.2018","LighthouseReef","black-topright#1","black","unident wrasse","1",8,"large crevice","80","e3","80.e3",1,"0:26:05",26.08,"","","large.less","crown"
"3","19.04.2018","LighthouseReef","black-topright#1","black","unident wrasse","1",8,"large crevice","80","f4","80.f4",1,"0:26:05",26.08,"","","large.less","crown"
"4","19.04.2018","LighthouseReef","black-topright#1","black","unident wrasse","1",8,"large crevice","80","g4","80.g4",2,"0:26:05",26.08,"","","large.less","othercrevice"
"5","19.04.2018","LighthouseReef","black-topright#10","black","Naso lituratus","2",20,"large crevice","80","b8","80.b8",2,"0:26:05",26.08,"","","large.less","crown"
"6","19.04.2018","LighthouseReef","black-topright#10","black","Naso lituratus","2",20,"large crevice","80","c7","80.c7",1,"0:26:05",26.08,"","","large.less","crown"
"7","19.04.2018","LighthouseReef","black-topright#10","black","Naso lituratus","2",20,"large crevice","80","d2","80.d2",1,"0:26:05",26.08,"","","large.less","crown"
"8","19.04.2018","LighthouseReef","black-topright#10","black","Naso lituratus","2",20,"large crevice","80","d8","80.d8",2,"0:26:05",26.08,"","","large.less","crown"
"9","19.04.2018","LighthouseReef","black-topright#10","black","Naso lituratus","2",20,"large crevice","80","g7","80.g7",1,"0:26:05",26.08,"","","large.less","crown"
"10","19.04.2018","LighthouseReef","black-topright#10","black","Naso lituratus","2",20,"large crevice","80","h4","80.h4",3,"0:26:05",26.08,"","","large.less","crown"
"11","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","b4","80.b4",1,"0:26:05",26.08,"","","large.less","crown"
"12","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","b6","80.b6",1,"0:26:05",26.08,"","","large.less","crown"
"13","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","c1","80.c1",1,"0:26:05",26.08,"","","large.less","outside"
"14","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","d1","80.d1",1,"0:26:05",26.08,"","","large.less","outside"
"15","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","d7","80.d7",1,"0:26:05",26.08,"","","large.less","crown"
"16","19.04.2018","LighthouseReef","black-topright#11","black","Ctenochaetus binotatus","2",5,"large crevice","80","g5","80.g5",1,"0:26:05",26.08,"","","large.less","crown"
"17","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","h2","80.h2",2,"0:26:05",26.08,"","","large.less","crown"
"18","19.04.2018","LighthouseReef","black-topright#11","black","Ctenochaetus binotatus","2",5,"large crevice","80","h4","80.h4",2,"0:26:05",26.08,"","","large.less","crown"
"19","19.04.2018","LighthouseReef","black-topright#11","black","Chlorurus sordidus","10",12,"large crevice","80","h6","80.h6",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"20","19.04.2018","LighthouseReef","black-topright#11","black","Ctenochaetus binotatus","2",5,"large crevice","80","h6","80.h6",1,"0:26:05",26.08,"","","large.less","crown"
"21","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","h6","80.h6",1,"0:26:05",26.08,"","","large.less","crown"
"22","19.04.2018","LighthouseReef","black-topright#11","black","Chlorurus sordidus","10",12,"large crevice","80","h8","80.h8",2,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"23","19.04.2018","LighthouseReef","black-topright#11","black","Naso lituratus","4",19,"large crevice","80","h8","80.h8",2,"0:26:05",26.08,"","","large.less","crown"
"24","19.04.2018","LighthouseReef","black-topright#12","black","Naso lituratus","5",20,"large crevice","80","b2","80.b2",1,"0:22:48",22.8,"","","large.less","crown"
"25","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","b4","80.b4",4,"0:22:48",22.8,"","","large.less","crown"
"26","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","d2","80.d2",1,"0:22:48",22.8,"","","large.less","crown"
"27","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","d3","80.d3",2,"0:22:48",22.8,"","","large.less","crown"
"28","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","e1","80.e1",1,"0:22:48",22.8,"","","large.less","outside"
"29","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","e2","80.e2",1,"0:22:48",22.8,"","","large.less","opencrevice"
"30","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","e3","80.e3",2,"0:22:48",22.8,"","","large.less","crown"
"31","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","e3","80.e3",3,"0:22:48",22.8,"","","large.less","crown"
"32","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","e4","80.e4",1,"0:22:48",22.8,"","","large.less","targetcrevice"
"33","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","f2","80.f2",1,"0:22:48",22.8,"","","large.less","crown"
"34","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","f2","80.f2",4,"0:22:48",22.8,"","","large.less","crown"
"35","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","f3","80.f3",1,"0:22:48",22.8,"","","large.less","othercrevice"
"36","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","f4","80.f4",4,"0:22:48",22.8,"","","large.less","crown"
"37","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","f4","80.f4",2,"0:22:48",22.8,"","","large.less","crown"
"38","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","f5","80.f5",2,"0:22:48",22.8,"","","large.less","crown"
"39","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","f5","80.f5",2,"0:22:48",22.8,"","","large.less","crown"
"40","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","f6","80.f6",2,"0:22:48",22.8,"","","large.less","crown"
"41","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","g3","80.g3",3,"0:22:48",22.8,"","","large.less","crown"
"42","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","g3","80.g3",3,"0:22:48",22.8,"","","large.less","crown"
"43","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","g5","80.g5",1,"0:22:48",22.8,"","","large.less","crown"
"44","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","g5","80.g5",1,"0:22:48",22.8,"","","large.less","crown"
"45","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","g7","80.g7",2,"0:22:48",22.8,"","","large.less","crown"
"46","19.04.2018","LighthouseReef","black-topright#12","black","Naso lituratus","5",20,"large crevice","80","h2","80.h2",1,"0:22:48",22.8,"","","large.less","crown"
"47","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","3",5,"large crevice","80","h6","80.h6",7,"0:22:48",22.8,"","","large.less","crown"
"48","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","h6","80.h6",3,"0:22:48",22.8,"","","large.less","crown"
"49","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","i4","80.i4",2,"0:22:48",22.8,"","","large.less","outside"
"50","19.04.2018","LighthouseReef","black-topright#3","black","Chlorurus sordidus","1",18,"large crevice","80","h2","80.h2",8,"0:26:05",26.08,"","Chlorurus sordidus TP","large.less","crown"
"51","19.04.2018","LighthouseReef","black-topright#3","black","Chlorurus sordidus","1",18,"large crevice","80","h6","80.h6",3,"0:26:05",26.08,"","Chlorurus sordidus TP","large.less","crown"
"52","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","g7","80.g7",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"53","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","g8","80.g8",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","opencrevice"
"54","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","3",13,"large crevice","80","h2","80.h2",3,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"55","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","h2","80.h2",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
