,Reef,Treatment,Genus,Species,Genus.species,Individual,Species.Code,Indiviual.code,Body.length,tile.kind,crown,outside,targetcrevice,opencrevice,othercrevice,Video_code,ColourCode,tile.number,video.length.min.sec.,video.length.min,comment,Area.crown.cm2,Area.target.cm2,Area.other.cm2,Area.open.cm2,Area.outside.cm2,Date,colour,Location
1601,LighthouseReef,recruitment,NA,NA,unident wrasse,1,NA,NA,8,small crevice,0,1,0,0,0,black-topright#1,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,h3
1602,LighthouseReef,recruitment,NA,NA,Naso lituratus,3,NA,NA,20,small crevice,1,0,0,0,0,black-topright#10,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b2
1603,LighthouseReef,recruitment,NA,NA,Naso lituratus,3,NA,NA,20,small crevice,2,0,0,0,0,black-topright#10,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b8
1604,LighthouseReef,recruitment,NA,NA,Naso lituratus,4,NA,NA,19,small crevice,1,0,0,0,0,black-topright#11,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b8
1605,LighthouseReef,recruitment,NA,NA,Naso lituratus,4,NA,NA,19,small crevice,0,1,0,0,0,black-topright#11,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,h2
1606,LighthouseReef,recruitment,NA,NA,Naso lituratus,6,NA,NA,20,small crevice,1,0,0,0,0,black-topright#12,NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b8
1607,LighthouseReef,recruitment,NA,NA,Naso lituratus,6,NA,NA,20,small crevice,1,0,0,0,0,black-topright#12,NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,d6
1608,LighthouseReef,recruitment,NA,NA,Naso lituratus,6,NA,NA,20,small crevice,1,0,0,0,0,black-topright#12,NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,d8
1609,LighthouseReef,recruitment,NA,NA,Naso lituratus,6,NA,NA,20,small crevice,1,0,0,0,0,black-topright#12,NA,6,NA,22.8,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,e7
1610,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,1,NA,NA,12,small crevice,2,0,0,0,0,black-topright#3,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b2
1611,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,1,NA,NA,12,small crevice,4,0,0,0,0,black-topright#3,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b8
1612,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,1,NA,NA,12,small crevice,1,0,0,0,0,black-topright#3,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,c7
1613,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,1,NA,NA,18,small crevice,5,0,0,0,0,black-topright#3,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,d6
1614,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,1,NA,NA,18,small crevice,1,0,0,0,0,black-topright#3,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,f2
1615,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,1,NA,NA,18,small crevice,1,0,0,0,0,black-topright#3,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,f6
1616,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,1,NA,NA,18,small crevice,0,4,0,0,0,black-topright#3,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,h2
1617,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,2,NA,NA,13,small crevice,3,0,0,0,0,black-topright#4,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b2
1618,LighthouseReef,recruitment,NA,NA,Chlorurus sordidus,3,NA,NA,13,small crevice,0,1,0,0,0,black-topright#4,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,h6
1619,LighthouseReef,recruitment,NA,NA,Naso lituratus,1,NA,NA,20,small crevice,3,0,0,0,0,black-topright#9,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,b2
1620,LighthouseReef,recruitment,NA,NA,Naso lituratus,1,NA,NA,20,small crevice,1,0,0,0,0,black-topright#9,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,d8
1621,LighthouseReef,recruitment,NA,NA,Naso lituratus,1,NA,NA,20,small crevice,2,0,0,0,0,black-topright#9,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,f2
1622,LighthouseReef,recruitment,NA,NA,Naso lituratus,1,NA,NA,20,small crevice,0,1,0,0,0,black-topright#9,NA,6,NA,26.08,NA,34.56,9.6,10.74736,14.4,97.89264,19.04.2018,black,h8
115,Lighthouse Reef,Lob growth,blenny,sp,blenny,102,blen,blen102,2,small crevice,1,2,5,15,0,1black#6,1 black,7.2,16.48,16.18,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
116,Lighthouse Reef,Lob growth,blenny,sp,blenny,100,blen,blen100,3,small crevice,0,4,1,0,10,1black#6,1 black,7.2,16.48,16.18,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
117,Lighthouse Reef,Lob growth,blenny,sp,blenny,74,blen,blen74,2,small crevice,0,2,10,0,0,1black#3,1 black,7.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
118,Lighthouse Reef,Lob growth,blenny,sp,blenny,75,blen,blen75,2,small crevice,6,0,11,0,0,1black#3,1 black,7.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
119,Lighthouse Reef,Lob growth,blenny,sp,blenny,76,blen,blen76,2,small crevice,1,0,0,0,10,1black#3,1 black,7.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
120,Lighthouse Reef,Lob growth,blenny,sp,blenny,77,blen,blen77,4,small crevice,0,5,0,0,6,1black#3,1 black,7.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
121,Lighthouse Reef,Lob growth,blenny,sp,blenny,100,blen,blen100,3,small crevice,3,5,0,0,0,1black#5,1 black,7.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
654,Lighthouse Reef,Lob growth,Ctenochaetus,striatus,Ctenochaetus striatus,23,Ctstr,Ctstr23,16,small crevice,1,1,0,0,0,1black#5,1 black,7.2,26.05,26.083,,34.56,9.6,10.74736,14.4,97.89264,NA,NA,NA
11,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,9,medium crevice,5,2,0,0,0,1red3white#6,1 red + 3 white,9.2,12.46,12.76,,34.56,18,10.74736,27,76.89264,NA,NA,NA
12,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,24,Anigro,Anigro24,8,medium crevice,3,3,0,0,0,1red3white#6,1 red + 3 white,9.2,12.46,12.76,,34.56,18,10.74736,27,76.89264,NA,NA,NA
13,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,9,Anigro,Anigro9,8,medium crevice,10,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
14,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,11,Anigro,Anigro11,8,medium crevice,7,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
15,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,12,Anigro,Anigro12,8,medium crevice,11,3,0,4,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
16,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,14,Anigro,Anigro14,9,medium crevice,2,1,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
17,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,15,Anigro,Anigro15,10,medium crevice,2,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
18,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,17,Anigro,Anigro17,10,medium crevice,8,0,1,0,0,1red3white#2,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
19,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,19,Anigro,Anigro19,9,medium crevice,22,15,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
20,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,19,Anigro,Anigro19,9,medium crevice,11,0,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
21,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,20,Anigro,Anigro20,8,medium crevice,6,0,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
22,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,medium crevice,33,2,0,1,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
23,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,medium crevice,7,13,0,3,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
24,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,22,Anigro,Anigro22,8,medium crevice,18,5,0,0,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
25,Lighthouse Reef,recruitment,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,Anigro,Anigro21,10,medium crevice,12,0,1,1,0,1red3white#5,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
293,Lighthouse Reef,recruitment,blenny,sp,blenny,35,blen,blen35,5,medium crevice,1,28,0,9,0,1red3white#6,1 red + 3 white,9.2,12.46,12.76,,34.56,18,10.74736,27,76.89264,NA,NA,NA
294,Lighthouse Reef,recruitment,blenny,sp,blenny,1,blen,blen1,5,medium crevice,13,7,7,5,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
295,Lighthouse Reef,recruitment,blenny,sp,blenny,1,blen,blen1,5,medium crevice,5,10,0,2,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
296,Lighthouse Reef,recruitment,blenny,sp,blenny,1,blen,blen1,5,medium crevice,2,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
297,Lighthouse Reef,recruitment,blenny,sp,blenny,1,blen,blen1,5,medium crevice,1,0,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
298,Lighthouse Reef,recruitment,blenny,sp,blenny,1,blen,blen1,5,medium crevice,0,3,0,0,0,1red3white#1,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
299,Lighthouse Reef,recruitment,blenny,sp,blenny,10,blen,blen10,3,medium crevice,0,9,0,31,0,1red3white#2,1 red + 3 white,9.2,26.05,26.083,,34.56,18,10.74736,27,76.89264,NA,NA,NA
