"","tile.number","Location","Species","sumbites"
"1","6","b2","Chlorurus sordidus",5
"2","6","b2","Naso lituratus",4
"3","6","b8","Chlorurus sordidus",4
"4","6","b8","Naso lituratus",4
"5","6","c7","Chlorurus sordidus",1
"6","6","d6","Chlorurus sordidus",5
"7","6","d6","Naso lituratus",1
"8","6","d8","Naso lituratus",2
"9","6","e7","Naso lituratus",1
"10","6","f2","Chlorurus sordidus",1
"11","6","f2","Naso lituratus",2
"12","6","f6","Chlorurus sordidus",1
"13","6","h2","Chlorurus sordidus",4
"14","6","h2","Naso lituratus",1
"15","6","h3","unident wrasse",1
"16","6","h6","Chlorurus sordidus",1
"17","6","h8","Naso lituratus",1
"18","8",NA,NA,0
"19","12",NA,NA,0
"20","13",NA,NA,0
"21","18","a4","Pomacentrus bankanensis",1
"22","18","a5",NA,0
"23","18","b1","Scarus niger",1
"24","18","b2","Scarus niger",1
"25","18","b4","Scarus niger",1
"26","18","b6","Scarus niger",6
"27","18","b8","Scarus niger",3
"28","18","c1","Scarus niger",1
"29","18","c5","Scarus niger",5
"30","18","c7","Scarus niger",2
"31","18","d1","Scarus niger",1
"32","18","d4","Pomacentrus bankanensis",1
"33","18","e1","Scarus niger",1
"34","18","f4","Scarus niger",1
"35","18","f6","Scarus niger",4
"36","18","g5","Scarus niger",3
"37","18","g6",NA,0
"38","18","g7","Scarus niger",3
"39","18","h2","Scarus niger",1
"40","18","h6","Scarus niger",2
"41","18","h8","Scarus niger",1
"42","18","i4","Scarus niger",1
"43","18","i5","Scarus niger",2
"44","18","i6","Scarus niger",1
"45","44","a1","Ctenochaetus striatus",1
"46","44","b1","Acanthurus nigrofuscus",3
"47","44","b1","Ctenochaetus striatus",1
"48","44","b1","Zebrasoma scopas",2
"49","44","b2","Acanthurus nigrofuscus",14
"50","44","b2","Ctenochaetus striatus",8
"51","44","b3","Ctenochaetus striatus",2
"52","44","b4","Acanthurus nigrofuscus",4
"53","44","b4","Ctenochaetus striatus",3
"54","44","b5","Acanthurus nigrofuscus",2
"55","44","b6","Acanthurus nigrofuscus",7
"56","44","b6","Ctenochaetus striatus",4
"57","44","b7","Acanthurus nigrofuscus",2
"58","44","b8","Acanthurus nigrofuscus",5
"59","44","b8","Ctenochaetus striatus",5
"60","44","c1","Ctenochaetus striatus",4
"61","44","c1","Zebrasoma scopas",1
"62","44","c3","Acanthurus nigrofuscus",18
"63","44","c3","Ctenochaetus striatus",NA
"64","44","c5","Acanthurus nigrofuscus",8
"65","44","c5","Zebrasoma scopas",1
"66","44","c6","Acanthurus nigrofuscus",1
"67","44","c7","Acanthurus nigrofuscus",4
"68","44","c7","Ctenochaetus striatus",3
"69","44","c8","Acanthurus nigrofuscus",1
"70","44","d1","Acanthurus nigrofuscus",1
"71","44","d1","Ctenochaetus striatus",2
"72","44","d1","Zebrasoma scopas",1
"73","44","d2","Acanthurus nigrofuscus",19
"74","44","d2","Ctenochaetus striatus",5
"75","44","d2","Zebrasoma scopas",1
"76","44","d3","Acanthurus nigrofuscus",5
"77","44","d4","Acanthurus nigrofuscus",13
"78","44","d4","Ctenochaetus striatus",2
"79","44","d5","Acanthurus nigrofuscus",4
"80","44","d6","Acanthurus nigrofuscus",5
"81","44","d6","Ctenochaetus striatus",4
"82","44","d6","Zebrasoma scopas",1
"83","44","d8","Acanthurus nigrofuscus",5
"84","44","d8","Ctenochaetus striatus",4
"85","44","d8","Zebrasoma scopas",1
"86","44","d9","Acanthurus nigrofuscus",1
"87","44","e1","Acanthurus nigrofuscus",1
"88","44","e1","Ctenochaetus striatus",1
"89","44","e1","Zebrasoma scopas",1
"90","44","e2","Acanthurus nigrofuscus",2
"91","44","e2","Ctenochaetus striatus",1
"92","44","e3","Acanthurus nigrofuscus",12
"93","44","e3","Ctenochaetus striatus",4
"94","44","e4","Acanthurus nigrofuscus",1
"95","44","e6","Acanthurus nigrofuscus",1
"96","44","e7","Acanthurus nigrofuscus",2
"97","44","e7","Zebrasoma scopas",2
"98","44","e8","Ctenochaetus striatus",2
"99","44","e8","Zebrasoma scopas",2
"100","44","e9","Ctenochaetus striatus",6
"101","44","e9","Zebrasoma scopas",6
"102","44","f1","Acanthurus nigrofuscus",3
"103","44","f2","Acanthurus nigrofuscus",13
"104","44","f2","Ctenochaetus striatus",1
"105","44","f3","Acanthurus nigrofuscus",1
"106","44","f4","Acanthurus nigrofuscus",15
"107","44","f4","Ctenochaetus striatus",2
"108","44","f4","Zebrasoma scopas",1
"109","44","f5","Acanthurus nigrofuscus",1
"110","44","f5","Ctenochaetus striatus",1
"111","44","f5","Zebrasoma scopas",1
"112","44","f6","Acanthurus nigrofuscus",2
"113","44","f6","Ctenochaetus striatus",4
"114","44","f6","Zebrasoma scopas",2
"115","44","f8","Acanthurus nigrofuscus",4
"116","44","f8","Ctenochaetus striatus",1
"117","44","f8","Zebrasoma scopas",5
"118","44","f9","Acanthurus nigrofuscus",8
"119","44","f9","Ctenochaetus striatus",1
"120","44","g1","Acanthurus nigrofuscus",7
"121","44","g2","Acanthurus nigrofuscus",9
"122","44","g3","Acanthurus nigrofuscus",23
"123","44","g3","Ctenochaetus striatus",6
"124","44","g5","Acanthurus nigrofuscus",11
"125","44","g5","Ctenochaetus striatus",3
"126","44","g5","Zebrasoma scopas",1
"127","44","g6","Acanthurus nigrofuscus",4
"128","44","g6","Zebrasoma scopas",1
"129","44","g7","Acanthurus nigrofuscus",11
"130","44","g7","Ctenochaetus striatus",4
"131","44","g7","Zebrasoma scopas",5
"132","44","g8","Acanthurus nigrofuscus",3
"133","44","g8","Ctenochaetus striatus",3
"134","44","g9","Acanthurus nigrofuscus",2
"135","44","h1","Acanthurus nigrofuscus",1
"136","44","h2","Acanthurus nigrofuscus",16
"137","44","h2","Ctenochaetus striatus",8
"138","44","h3","Acanthurus nigrofuscus",11
"139","44","h3","Zebrasoma scopas",1
"140","44","h4","Acanthurus nigrofuscus",16
"141","44","h4","Ctenochaetus striatus",6
