"","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Species","sumbites"
"1","yellow","8","caged control","large","a1",0,1,0,0,1,0,0,0,0,NA,NA
"2","yellow","8","caged control","large","a2",1,1,0,1,1,0,0,0,0,NA,NA
"3","yellow","8","caged control","large","a3",0,0,0,0,0,0,0,0,0,NA,NA
"4","yellow","8","caged control","large","a4",3,0,0,3,0,0,0,0,0,NA,NA
"5","yellow","8","caged control","large","a5",1,1,0,1,1,0,0,0,0,NA,NA
"6","yellow","8","caged control","large","a6",2,5,0,2,5,0,0,0,0,NA,NA
"7","yellow","8","caged control","large","a7",3,0,0,3,0,0,0,0,0,NA,NA
"8","yellow","8","caged control","large","a8",2,0,0,2,0,0,0,0,0,NA,NA
"9","yellow","8","caged control","large","a9",0,0,0,0,0,0,0,0,0,NA,NA
"10","yellow","8","caged control","large","b1",1,0,0,1,0,0,0,0,0,NA,NA
"11","yellow","8","caged control","large","b2",4,7,0,4,7,0,0,0,0,NA,NA
"12","yellow","8","caged control","large","b3",2,2,0,2,2,0,0,0,0,NA,NA
"13","yellow","8","caged control","large","b4",0,4,0,0,4,0,0,0,0,NA,NA
"14","yellow","8","caged control","large","b5",1,5,0,1,5,0,0,0,0,NA,NA
"15","yellow","8","caged control","large","b6",5,5,0,5,5,0,0,0,0,NA,NA
"16","yellow","8","caged control","large","b7",2,3,1,2,3,1,0,0,0,NA,NA
"17","yellow","8","caged control","large","b8",3,5,0,3,5,0,0,0,0,NA,NA
"18","yellow","8","caged control","large","b9",4,2,0,4,2,0,0,0,0,NA,NA
"19","yellow","8","caged control","large","c1",0,1,0,0,1,0,0,0,0,NA,NA
"20","yellow","8","caged control","large","c2",2,2,0,2,2,0,0,0,0,NA,NA
"21","yellow","8","caged control","large","c3",2,1,0,2,1,0,0,0,0,NA,NA
"22","yellow","8","caged control","large","c4",1,4,1,1,4,1,0,0,0,NA,NA
"23","yellow","8","caged control","large","c5",3,2,0,3,2,0,0,0,0,NA,NA
"24","yellow","8","caged control","large","c6",3,0,0,3,0,0,0,0,0,NA,NA
"25","yellow","8","caged control","large","c7",5,3,0,5,3,0,0,0,0,NA,NA
"26","yellow","8","caged control","large","c8",6,2,0,6,2,0,0,0,0,NA,NA
"27","yellow","8","caged control","large","c9",1,1,0,1,1,0,0,0,0,NA,NA
"28","yellow","8","caged control","large","d1",0,0,0,0,0,0,0,0,0,NA,NA
"29","yellow","8","caged control","large","d2",2,5,0,2,5,0,0,0,0,NA,NA
"30","yellow","8","caged control","large","d3",2,5,0,2,5,0,0,0,0,NA,NA
"31","yellow","8","caged control","large","d4",2,1,0,2,1,0,0,0,0,NA,NA
"32","yellow","8","caged control","large","d5",0,0,0,0,0,0,0,0,0,NA,NA
"33","yellow","8","caged control","large","d6",3,4,1,3,4,1,0,0,0,NA,NA
"34","yellow","8","caged control","large","d7",2,2,2,2,0,2,0,2,0,NA,NA
"35","yellow","8","caged control","large","d8",3,3,0,3,3,0,0,0,0,NA,NA
"36","yellow","8","caged control","large","d9",1,1,0,1,1,0,0,0,0,NA,NA
"37","yellow","8","caged control","large","e1",0,0,0,0,0,0,0,0,0,NA,NA
"38","yellow","8","caged control","large","e2",1,4,0,1,4,0,0,0,0,NA,NA
"39","yellow","8","caged control","large","e3",6,1,0,6,1,0,0,0,0,NA,NA
"40","yellow","8","caged control","large","e4",5,8,0,5,8,0,0,0,0,NA,NA
"41","yellow","8","caged control","large","e5",6,0,0,6,0,0,0,0,0,NA,NA
"42","yellow","8","caged control","large","e6",3,2,1,3,2,1,0,0,0,NA,NA
"43","yellow","8","caged control","large","e7",4,2,0,4,2,0,0,0,0,NA,NA
"44","yellow","8","caged control","large","e8",1,2,1,1,2,1,0,0,0,NA,NA
"45","yellow","8","caged control","large","e9",1,0,0,1,0,0,0,0,0,NA,NA
"46","yellow","8","caged control","large","f1",1,0,0,1,0,0,0,0,0,NA,NA
"47","yellow","8","caged control","large","f2",2,4,0,2,4,0,0,0,0,NA,NA
"48","yellow","8","caged control","large","f3",1,4,0,1,4,0,0,0,0,NA,NA
"49","yellow","8","caged control","large","f4",2,5,0,2,5,0,0,0,0,NA,NA
"50","yellow","8","caged control","large","f5",0,0,0,0,0,0,0,0,0,NA,NA
"51","yellow","8","caged control","large","f6",2,3,1,2,3,1,0,0,0,NA,NA
"52","yellow","8","caged control","large","f7",0,1,0,0,1,0,0,0,0,NA,NA
"53","yellow","8","caged control","large","f8",5,3,0,5,3,0,0,0,0,NA,NA
"54","yellow","8","caged control","large","f9",3,2,0,3,2,0,0,0,0,NA,NA
"55","yellow","8","caged control","large","g1",1,1,0,1,1,0,0,0,0,NA,NA
"56","yellow","8","caged control","large","g2",1,3,0,1,3,0,0,0,0,NA,NA
"57","yellow","8","caged control","large","g3",7,4,0,7,4,0,0,0,0,NA,NA
"58","yellow","8","caged control","large","g4",1,1,0,1,1,0,0,0,0,NA,NA
"59","yellow","8","caged control","large","g5",0,3,0,0,3,0,0,0,0,NA,NA
"60","yellow","8","caged control","large","g6",1,6,0,1,6,0,0,0,0,NA,NA
"61","yellow","8","caged control","large","g7",2,1,0,2,1,0,0,0,0,NA,NA
"62","yellow","8","caged control","large","g8",8,8,0,8,8,0,0,0,0,NA,NA
"63","yellow","8","caged control","large","g9",2,0,0,2,0,0,0,0,0,NA,NA
"64","yellow","8","caged control","large","h1",1,2,0,1,2,0,0,0,0,NA,NA
"65","yellow","8","caged control","large","h2",2,4,0,2,4,0,0,0,0,NA,NA
"66","yellow","8","caged control","large","h3",1,2,0,1,2,0,0,0,0,NA,NA
"67","yellow","8","caged control","large","h4",2,4,0,2,4,0,0,0,0,NA,NA
"68","yellow","8","caged control","large","h5",0,2,0,0,2,0,0,0,0,NA,NA
"69","yellow","8","caged control","large","h6",2,1,0,2,1,0,0,0,0,NA,NA
"70","yellow","8","caged control","large","h7",7,6,0,7,6,0,0,0,0,NA,NA
"71","yellow","8","caged control","large","h8",2,3,0,2,3,0,0,0,0,NA,NA
"72","yellow","8","caged control","large","h9",2,4,0,2,4,0,0,0,0,NA,NA
"73","yellow","8","caged control","large","i1",1,0,0,1,0,0,0,0,0,NA,NA
"74","yellow","8","caged control","large","i2",3,1,0,3,1,0,0,0,0,NA,NA
"75","yellow","8","caged control","large","i3",0,2,0,0,2,0,0,0,0,NA,NA
"76","yellow","8","caged control","large","i4",1,1,0,1,1,0,0,0,0,NA,NA
"77","yellow","8","caged control","large","i5",1,0,0,1,0,0,0,0,0,NA,NA
"78","yellow","8","caged control","large","i6",4,0,0,4,0,0,0,0,0,NA,NA
"79","yellow","8","caged control","large","i7",0,1,0,0,1,0,0,0,0,NA,NA
"80","yellow","8","caged control","large","i8",1,0,0,1,0,0,0,0,0,NA,NA
"81","yellow","8","caged control","large","i9",0,2,0,0,2,0,0,0,0,NA,NA
"82","green","45","caged control","large","a1",0,0,0,0,0,0,0,0,0,NA,NA
"83","green","45","caged control","large","a2",0,0,0,0,0,0,0,0,0,NA,NA
"84","green","45","caged control","large","a3",0,0,0,0,0,0,0,0,0,NA,NA
