"","Unique.location","Acanthurus nigrofuscus","Chlorurus sordidus","Ctenochaetus binotatus","Ctenochaetus striatus","Naso lituratus","Pomacentrus bankanensis","Scarus niger","unident wrasse","Zebrasoma scopas","NA"
"1","107.b2",0,1,0,0,1,0,0,0,0,0
"2","107.b6",0,1,0,0,0,0,0,0,0,0
"3","107.b8",0,1,0,0,1,0,0,0,0,0
"4","107.c3",0,1,0,0,0,0,0,1,0,0
"5","107.d2",0,3,0,0,0,0,0,1,0,0
"6","107.d5",0,0,0,0,1,0,0,0,0,0
"7","107.d6",0,0,0,0,4,0,0,1,0,0
"8","107.e2",0,1,0,0,0,0,0,0,0,0
"9","107.e3",0,4,0,0,0,0,0,0,0,0
"10","107.f2",0,3,0,0,0,0,0,0,0,0
"11","107.f6",0,0,0,0,1,0,0,0,0,0
"12","107.f8",0,0,0,0,2,0,0,0,0,0
"13","107.g1",0,2,0,0,0,0,0,0,0,0
"14","107.g2",0,0,3,0,0,0,0,0,0,0
"15","107.g3",0,0,1,0,0,0,0,0,0,0
"16","107.g7",0,0,0,0,3,0,0,0,0,0
"17","107.h1",0,0,4,0,0,0,0,0,0,0
"18","107.h2",0,3,6,0,1,0,0,0,0,0
"19","107.h4",0,0,0,0,2,0,0,0,0,0
"20","107.i1",0,0,0,0,0,0,0,0,0,0
"21","107.i2",0,0,4,0,0,0,0,0,0,0
"22","107.i3",0,0,1,0,0,0,0,0,0,0
"23","107.i4",0,0,0,0,2,0,0,0,0,0
"24","107.i5",0,0,0,0,1,0,0,0,0,0
"25","107.i7",0,0,1,0,0,0,0,0,0,0
"26","12.NA",0,0,0,0,0,0,0,0,0,0
"27","13.NA",0,0,0,0,0,0,0,0,0,0
"28","18.a4",0,0,0,0,0,1,0,0,0,0
"29","18.a5",0,0,0,0,0,0,0,0,0,0
"30","18.b1",0,0,0,0,0,0,1,0,0,0
"31","18.b2",0,0,0,0,0,0,1,0,0,0
"32","18.b4",0,0,0,0,0,0,1,0,0,0
"33","18.b6",0,0,0,0,0,0,6,0,0,0
"34","18.b8",0,0,0,0,0,0,3,0,0,0
"35","18.c1",0,0,0,0,0,0,1,0,0,0
"36","18.c5",0,0,0,0,0,0,5,0,0,0
"37","18.c7",0,0,0,0,0,0,2,0,0,0
"38","18.d1",0,0,0,0,0,0,1,0,0,0
"39","18.d4",0,0,0,0,0,1,0,0,0,0
"40","18.e1",0,0,0,0,0,0,1,0,0,0
"41","18.f4",0,0,0,0,0,0,1,0,0,0
"42","18.f6",0,0,0,0,0,0,4,0,0,0
"43","18.g5",0,0,0,0,0,0,3,0,0,0
"44","18.g6",0,0,0,0,0,0,0,0,0,0
"45","18.g7",0,0,0,0,0,0,3,0,0,0
"46","18.h2",0,0,0,0,0,0,1,0,0,0
"47","18.h6",0,0,0,0,0,0,2,0,0,0
"48","18.h8",0,0,0,0,0,0,1,0,0,0
"49","18.i4",0,0,0,0,0,0,1,0,0,0
"50","18.i5",0,0,0,0,0,0,2,0,0,0
"51","18.i6",0,0,0,0,0,0,1,0,0,0
"52","44.a1",0,0,0,1,0,0,0,0,0,0
"53","44.b1",3,0,0,1,0,0,0,0,2,0
"54","44.b2",14,0,0,8,0,0,0,0,0,0
"55","44.b3",0,0,0,2,0,0,0,0,0,0
"56","44.b4",4,0,0,3,0,0,0,0,0,0
"57","44.b5",2,0,0,0,0,0,0,0,0,0
"58","44.b6",7,0,0,4,0,0,0,0,0,0
"59","44.b7",2,0,0,0,0,0,0,0,0,0
"60","44.b8",5,0,0,5,0,0,0,0,0,0
"61","44.c1",0,0,0,4,0,0,0,0,1,0
"62","44.c3",18,0,0,NA,0,0,0,0,0,0
"63","44.c5",8,0,0,0,0,0,0,0,1,0
"64","44.c6",1,0,0,0,0,0,0,0,0,0
"65","44.c7",4,0,0,3,0,0,0,0,0,0
"66","44.c8",1,0,0,0,0,0,0,0,0,0
"67","44.d1",1,0,0,2,0,0,0,0,1,0
"68","44.d2",19,0,0,5,0,0,0,0,1,0
"69","44.d3",5,0,0,0,0,0,0,0,0,0
"70","44.d4",13,0,0,2,0,0,0,0,0,0
"71","44.d5",4,0,0,0,0,0,0,0,0,0
"72","44.d6",5,0,0,4,0,0,0,0,1,0
"73","44.d8",5,0,0,4,0,0,0,0,1,0
"74","44.d9",1,0,0,0,0,0,0,0,0,0
"75","44.e1",1,0,0,1,0,0,0,0,1,0
"76","44.e2",2,0,0,1,0,0,0,0,0,0
"77","44.e3",12,0,0,4,0,0,0,0,0,0
"78","44.e4",1,0,0,0,0,0,0,0,0,0
"79","44.e6",1,0,0,0,0,0,0,0,0,0
"80","44.e7",2,0,0,0,0,0,0,0,2,0
"81","44.e8",0,0,0,2,0,0,0,0,2,0
"82","44.e9",0,0,0,6,0,0,0,0,6,0
"83","44.f1",3,0,0,0,0,0,0,0,0,0
"84","44.f2",13,0,0,1,0,0,0,0,0,0
"85","44.f3",1,0,0,0,0,0,0,0,0,0
"86","44.f4",15,0,0,2,0,0,0,0,1,0
"87","44.f5",1,0,0,1,0,0,0,0,1,0
"88","44.f6",2,0,0,4,0,0,0,0,2,0
"89","44.f8",4,0,0,1,0,0,0,0,5,0
"90","44.f9",8,0,0,1,0,0,0,0,0,0
"91","44.g1",7,0,0,0,0,0,0,0,0,0
"92","44.g2",9,0,0,0,0,0,0,0,0,0
"93","44.g3",23,0,0,6,0,0,0,0,0,0
"94","44.g5",11,0,0,3,0,0,0,0,1,0
"95","44.g6",4,0,0,0,0,0,0,0,1,0
"96","44.g7",11,0,0,4,0,0,0,0,5,0
"97","44.g8",3,0,0,3,0,0,0,0,0,0
"98","44.g9",2,0,0,0,0,0,0,0,0,0
"99","44.h1",1,0,0,0,0,0,0,0,0,0
"100","44.h2",16,0,0,8,0,0,0,0,0,0
"101","44.h3",11,0,0,0,0,0,0,0,1,0
"102","44.h4",16,0,0,6,0,0,0,0,1,0
"103","44.h5",3,0,0,1,0,0,0,0,0,0
"104","44.h6",10,0,0,6,0,0,0,0,9,0
"105","44.h7",5,0,0,0,0,0,0,0,0,0
"106","44.h8",10,0,0,5,0,0,0,0,5,0
"107","44.h9",4,0,0,1,0,0,0,0,0,0
"108","44.i2",1,0,0,0,0,0,0,0,0,0
"109","44.i3",6,0,0,2,0,0,0,0,0,0
"110","44.i4",1,0,0,2,0,0,0,0,0,0
"111","44.i5",1,0,0,1,0,0,0,0,3,0
"112","44.i6",2,0,0,2,0,0,0,0,4,0
"113","44.i7",3,0,0,4,0,0,0,0,1,0
"114","44.i8",3,0,0,3,0,0,0,0,0,0
"115","44.i9",0,0,0,0,0,0,0,0,0,0
"116","45.NA",0,0,0,0,0,0,0,0,0,0
"117","6.b2",0,5,0,0,4,0,0,0,0,0
