Tile.kind,Location,Location.kind,tile.number
large.more,b2,crown,71
large.more,b4,crown,71
large.more,b5,crown,71
large.more,b6,crown,71
large.more,b7,crown,71
large.more,b8,crown,71
large.more,c3,crown,71
large.more,c4,crown,71
large.more,c8,crown,71
large.more,d2,crown,71
large.more,d4,crown,71
large.more,d8,crown,71
large.more,e3,crown,71
large.more,e4,crown,71
large.more,e8,crown,71
large.more,f2,crown,71
large.more,f4,crown,71
large.more,f5,crown,71
large.more,f6,crown,71
large.more,f7,crown,71
large.more,f8,crown,71
large.more,g3,crown,71
large.more,g5,crown,71
large.more,g7,crown,71
large.more,h2,crown,71
large.more,h4,crown,71
large.more,h6,crown,71
large.more,h8,crown,71
large.less,b2,crown,80
large.less,b4,crown,80
large.less,b5,crown,80
large.less,b6,crown,80
large.less,b8,crown,80
large.less,c3,crown,80
large.less,c7,crown,80
large.less,d2,crown,80
large.less,d3,crown,80
large.less,d7,crown,80
large.less,d8,crown,80
large.less,e3,crown,80
large.less,e7,crown,80
large.less,f2,crown,80
large.less,f4,crown,80
large.less,f5,crown,80
large.less,f6,crown,80
large.less,f8,crown,80
large.less,g3,crown,80
large.less,g5,crown,80
large.less,g7,crown,80
large.less,h2,crown,80
large.less,h4,crown,80
large.less,h6,crown,80
large.less,h8,crown,80
large.less,b2,crown,74
large.less,b4,crown,74
large.less,b5,crown,74
large.less,b6,crown,74
large.less,b8,crown,74
large.less,c3,crown,74
large.less,c7,crown,74
large.less,d2,crown,74
large.less,d3,crown,74
large.less,d7,crown,74
large.less,d8,crown,74
large.less,e3,crown,74
large.less,e7,crown,74
large.less,f2,crown,74
large.less,f4,crown,74
large.less,f5,crown,74
large.less,f6,crown,74
large.less,f8,crown,74
large.less,g3,crown,74
large.less,g5,crown,74
large.less,g7,crown,74
large.less,h2,crown,74
large.less,h4,crown,74
large.less,h6,crown,74
large.less,h8,crown,74
medium,b2,crown,107
medium,b4,crown,107
medium,b6,crown,107
medium,b8,crown,107
medium,c3,crown,107
medium,c5,crown,107
medium,c7,crown,107
medium,d2,crown,107
medium,d4,crown,107
medium,d6,crown,107
medium,d8,crown,107
medium,e3,crown,107
medium,e7,crown,107
medium,f2,crown,107
medium,f4,crown,107
medium,f6,crown,107
medium,f8,crown,107
medium,g3,crown,107
medium,g5,crown,107
medium,g7,crown,107
medium,b2,crown,79
medium,b4,crown,79
medium,b6,crown,79
medium,b8,crown,79
medium,c3,crown,79
medium,c5,crown,79
medium,c7,crown,79
medium,d2,crown,79
medium,d4,crown,79
medium,d6,crown,79
medium,d8,crown,79
medium,e3,crown,79
medium,e7,crown,79
medium,f2,crown,79
medium,f4,crown,79
medium,f6,crown,79
medium,f8,crown,79
medium,g3,crown,79
medium,g5,crown,79
medium,g7,crown,79
medium,b2,crown,44
medium,b4,crown,44
medium,b6,crown,44
medium,b8,crown,44
medium,c3,crown,44
medium,c5,crown,44
medium,c7,crown,44
medium,d2,crown,44
medium,d4,crown,44
medium,d6,crown,44
medium,d8,crown,44
medium,e3,crown,44
medium,e7,crown,44
medium,f2,crown,44
medium,f4,crown,44
medium,f6,crown,44
medium,f8,crown,44
medium,g3,crown,44
medium,g5,crown,44
medium,g7,crown,44
small,b2,crown,72
small,b4,crown,72
small,b6,crown,72
small,b8,crown,72
small,c3,crown,72
small,c5,crown,72
small,c7,crown,72
small,d2,crown,72
small,d4,crown,72
small,d6,crown,72
small,d8,crown,72
small,e3,crown,72
small,e7,crown,72
small,f2,crown,72
small,f4,crown,72
small,f6,crown,72
small,f8,crown,72
small,g3,crown,72
small,g5,crown,72
small,g7,crown,72
small,b2,crown,6
small,b4,crown,6
small,b6,crown,6
small,b8,crown,6
small,c3,crown,6
small,c5,crown,6
small,c7,crown,6
small,d2,crown,6
small,d4,crown,6
small,d6,crown,6
small,d8,crown,6
small,e3,crown,6
small,e7,crown,6
small,f2,crown,6
small,f4,crown,6
small,f6,crown,6
small,f8,crown,6
small,g3,crown,6
small,g5,crown,6
small,g7,crown,6
small,b2,crown,18
small,b4,crown,18
small,b6,crown,18
small,b8,crown,18
small,c3,crown,18
small,c5,crown,18
small,c7,crown,18
small,d2,crown,18
small,d4,crown,18
small,d6,crown,18
small,d8,crown,18
small,e3,crown,18
small,e7,crown,18
small,f2,crown,18
small,f4,crown,18
small,f6,crown,18
small,f8,crown,18
small,g3,crown,18
small,g5,crown,18
small,g7,crown,18
large.more,b3,opencrevice,71
large.more,c2,opencrevice,71
large.more,e2,opencrevice,71
large.more,g2,opencrevice,71
large.more,g8,opencrevice,71
large.more,h3,opencrevice,71
large.more,h5,opencrevice,71
large.more,h7,opencrevice,71
large.less,b3,opencrevice,80
large.less,b7,opencrevice,80
large.less,c2,opencrevice,80
large.less,c8,opencrevice,80
large.less,e2,opencrevice,80
large.less,e8,opencrevice,80
large.less,g2,opencrevice,80
large.less,g8,opencrevice,80
large.less,h3,opencrevice,80
large.less,h5,opencrevice,80
large.less,h7,opencrevice,80
large.less,b3,opencrevice,74
large.less,b7,opencrevice,74
large.less,c2,opencrevice,74
large.less,c8,opencrevice,74
large.less,e2,opencrevice,74
large.less,e8,opencrevice,74
large.less,g2,opencrevice,74
large.less,g8,opencrevice,74
large.less,h3,opencrevice,74
large.less,h5,opencrevice,74
large.less,h7,opencrevice,74
medium,b3,opencrevice,107
medium,b5,opencrevice,107
medium,b7,opencrevice,107
medium,c2,opencrevice,107
medium,c8,opencrevice,107
medium,e2,opencrevice,107
medium,e8,opencrevice,107
medium,g2,opencrevice,107
medium,g8,opencrevice,107
medium,b3,opencrevice,79
medium,b5,opencrevice,79
medium,b7,opencrevice,79
medium,c2,opencrevice,79
medium,c8,opencrevice,79
medium,e2,opencrevice,79
medium,e8,opencrevice,79
medium,g2,opencrevice,79
medium,g8,opencrevice,79
medium,b3,opencrevice,44
medium,b5,opencrevice,44
medium,b7,opencrevice,44
medium,c2,opencrevice,44
medium,c8,opencrevice,44
medium,e2,opencrevice,44
medium,e8,opencrevice,44
medium,g2,opencrevice,44
medium,g8,opencrevice,44
small,b3,opencrevice,72
small,b5,opencrevice,72
